doc_id,url,title,description,pagerank
0,https://news.ycombinator.com/,Hacker News,Hacker News Hacker News new | past | comments | ask | show | jobs | submit login 1. Attention Media ≠ Social Networks ( susam.net ) 390 points by susam 6 hours ago | hide | 169 comments 2. Fix Your To...,0.001256
1,https://news.ycombinator.com,Hacker News,Hacker News Hacker News new | past | comments | ask | show | jobs | submit login 1. Attention Media ≠ Social Networks ( susam.net ) 390 points by susam 6 hours ago | hide | 169 comments 2. Fix Your To...,0.001321
2,https://susam.net/attention-media-vs-social-networks.html,Attention Media ≠ Social Networks - Susam Pal,"Attention Media ≠ Social Networks - Susam Pal Attention Media ≠ Social Networks By Susam Pal on 20 Jan 2026 When web-based social networks started flourishing nearly two
  decades ago, they were genui...",0.001321
3,https://ochagavia.nl/blog/fix-your-tools/,Fix your tools | Adolfo Ochagavía,"Last week I had to diagnose a bug in an open source library I maintain. The issue was gnarly enough that I couldn’t find it right away, but then I thought: if I set a breakpoint here and fire up the debugger, I will likely find the root cause very soon… and then proceed to mercilessly destroy it!
So I rolled up my sleeves, set the breakpoint, fired up the debugger, and… saw the program run to completion without interruptions whatsoever.",0.001321
4,https://github.com/FreHu/vscode-fresh-file-explorer,GitHub - FreHu/vscode-fresh-file-explorer: A vscode file explorer which shows only recently modified files based on a combination of Git history and your pending changes,A vscode file explorer which shows only recently modified files based on a combination of Git history and your pending changes - FreHu/vscode-fresh-file-explorer,0.00133
5,https://voxjong.com,VoxJong - CSS Mahjong Solitaire,"Play VoxJong, a free CSS Mahjong Solitaire.",0.001321
6,https://hayzam.com/blog/02-linuxulator-is-awesome/,Linuxulator on FreeBSD Feels Like Magic | Hayzam,Most linux software just work on FreeBSD,0.001321
7,https://planetscale.com/blog/database-transactions,Database Transactions — PlanetScale,What are database transactions and how do SQL databases isolate one transaction from another?,0.001352
8,https://live.xweather.com/,Xweather Live | Live Weather Forecast Map,"Interactive global weather map with real-time radar, forecasts, air quality, wind speeds, and severe weather alerts. Get advanced AI summaries of weather impacts powered by Vaisala Xweather.",0.001321
9,https://nesbitt.io/2026/02/05/git-magic-files.html,Git’s Magic Files | Andrew Nesbitt,"Magic files and where to find them: .gitignore, .gitattributes, .mailmap, .git-blame-ignore-revs, .lfsconfig, and more.",0.001359
10,https://quesma.com/blog/introducing-binaryaudit/,We hid backdoors in ~40MB binaries and asked AI + Ghidra to find them - Quesma Blog,"BinaryAudit benchmarks AI agents using Ghidra to find backdoors in compiled binaries of real open-source servers, proxies, and network infrastructure.",0.001321
11,https://www.popsci.com/technology/robot-vacuum-army/,"Man accidentally gains control of 7,000 robot vacuums | Popular Science",Sammy Azdoufal just wanted to steer his DJI Romo with a gaming controller.,0.001321
12,https://www.anuragk.com/blog/posts/Taalas.html,"How Taalas ""prints"" LLM onto a chip?","How Taalas ""prints"" LLM onto a chip? Blog Linkblog Home How Taalas ""prints"" LLM onto a chip? or how to generate 17000 tokens per second? February 22, 2026 · 4 min read A startup called Taalas , recent...",0.001321
13,https://gamedate.org/,GameDate - Revive Dead Games,"Schedule sessions for dead games, niche mods, and retro netplay. No account needed.",0.001321
14,https://github.com/xaskasdf/ntransformer,GitHub - xaskasdf/ntransformer: High-efficiency LLM inference engine in C++/CUDA. Run Llama 70B on RTX 3090.,High-efficiency LLM inference engine in C++/CUDA. Run Llama 70B on RTX 3090. - xaskasdf/ntransformer,0.001331
15,https://boristane.com/blog/how-i-use-claude-code/,How I Use Claude Code | Boris Tane,"The research-plan-implement workflow I use to build software with Claude Code, and why I never let it write code until I've approved a written plan.",0.001321
16,https://ukiyo-e.org/,Japanese Print Search and Database,"Searches thousands of Ukiyo-e, Meiji, Shin Hanga, and Sosaku Hanga Japanese prints.",0.001328
17,https://github.com/tnm/zclaw,"GitHub - tnm/zclaw: Your personal AI assistant at all-in 888KiB (~25KB in app code). Running on an ESP32. GPIO, cron, custom tools, memory, and more.","Your personal AI assistant at all-in 888KiB (~25KB in app code). Running on an ESP32. GPIO, cron, custom tools, memory, and more. - tnm/zclaw",0.00133
18,https://github.com/volatilityfoundation/volatility3,GitHub - volatilityfoundation/volatility3: Volatility 3.0 development,Volatility 3.0 development. Contribute to volatilityfoundation/volatility3 development by creating an account on GitHub.,0.001328
19,https://floedb.ai/blog/two-bits-are-better-than-one-making-bloom-filters-2x-more-accurate,Two Bits Are Better Than One: making bloom filters 2x more accurate,Optimisation of bloom filters in Floe using double bit setting with lightweight hashing.,0.001321
